# Codepoints tools/subset-fonts.py cut from the faces in this directory.
# --check fails when the site reaches for one of them again.
00A0  # NO-BREAK SPACE
00A1  # INVERTED EXCLAMATION MARK
00A2  # CENT SIGN
00A3  # POUND SIGN
00A4  # CURRENCY SIGN
00A5  # YEN SIGN
00A6  # BROKEN BAR
00A7  # SECTION SIGN
00A8  # DIAERESIS
00A9  # COPYRIGHT SIGN
00AA  # FEMININE ORDINAL INDICATOR
00AB  # LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00AC  # NOT SIGN
00AE  # REGISTERED SIGN
00AF  # MACRON
00B0  # DEGREE SIGN
00B2  # SUPERSCRIPT TWO
00B3  # SUPERSCRIPT THREE
00B4  # ACUTE ACCENT
00B5  # MICRO SIGN
00B6  # PILCROW SIGN
00B8  # CEDILLA
00B9  # SUPERSCRIPT ONE
00BA  # MASCULINE ORDINAL INDICATOR
00BB  # RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC  # VULGAR FRACTION ONE QUARTER
00BD  # VULGAR FRACTION ONE HALF
00BE  # VULGAR FRACTION THREE QUARTERS
00BF  # INVERTED QUESTION MARK
00C0  # LATIN CAPITAL LETTER A WITH GRAVE
00C1  # LATIN CAPITAL LETTER A WITH ACUTE
00C2  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3  # LATIN CAPITAL LETTER A WITH TILDE
00C4  # LATIN CAPITAL LETTER A WITH DIAERESIS
00C5  # LATIN CAPITAL LETTER A WITH RING ABOVE
00C6  # LATIN CAPITAL LETTER AE
00C7  # LATIN CAPITAL LETTER C WITH CEDILLA
00C8  # LATIN CAPITAL LETTER E WITH GRAVE
00C9  # LATIN CAPITAL LETTER E WITH ACUTE
00CA  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB  # LATIN CAPITAL LETTER E WITH DIAERESIS
00CC  # LATIN CAPITAL LETTER I WITH GRAVE
00CD  # LATIN CAPITAL LETTER I WITH ACUTE
00CE  # LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF  # LATIN CAPITAL LETTER I WITH DIAERESIS
00D0  # LATIN CAPITAL LETTER ETH
00D1  # LATIN CAPITAL LETTER N WITH TILDE
00D2  # LATIN CAPITAL LETTER O WITH GRAVE
00D3  # LATIN CAPITAL LETTER O WITH ACUTE
00D4  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5  # LATIN CAPITAL LETTER O WITH TILDE
00D6  # LATIN CAPITAL LETTER O WITH DIAERESIS
00D8  # LATIN CAPITAL LETTER O WITH STROKE
00D9  # LATIN CAPITAL LETTER U WITH GRAVE
00DA  # LATIN CAPITAL LETTER U WITH ACUTE
00DB  # LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC  # LATIN CAPITAL LETTER U WITH DIAERESIS
00DD  # LATIN CAPITAL LETTER Y WITH ACUTE
00DE  # LATIN CAPITAL LETTER THORN
00DF  # LATIN SMALL LETTER SHARP S
00E0  # LATIN SMALL LETTER A WITH GRAVE
00E1  # LATIN SMALL LETTER A WITH ACUTE
00E2  # LATIN SMALL LETTER A WITH CIRCUMFLEX
00E3  # LATIN SMALL LETTER A WITH TILDE
00E4  # LATIN SMALL LETTER A WITH DIAERESIS
00E5  # LATIN SMALL LETTER A WITH RING ABOVE
00E6  # LATIN SMALL LETTER AE
00E7  # LATIN SMALL LETTER C WITH CEDILLA
00E8  # LATIN SMALL LETTER E WITH GRAVE
00E9  # LATIN SMALL LETTER E WITH ACUTE
00EA  # LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB  # LATIN SMALL LETTER E WITH DIAERESIS
00EC  # LATIN SMALL LETTER I WITH GRAVE
00ED  # LATIN SMALL LETTER I WITH ACUTE
00EE  # LATIN SMALL LETTER I WITH CIRCUMFLEX
00EF  # LATIN SMALL LETTER I WITH DIAERESIS
00F0  # LATIN SMALL LETTER ETH
00F1  # LATIN SMALL LETTER N WITH TILDE
00F2  # LATIN SMALL LETTER O WITH GRAVE
00F3  # LATIN SMALL LETTER O WITH ACUTE
00F4  # LATIN SMALL LETTER O WITH CIRCUMFLEX
00F5  # LATIN SMALL LETTER O WITH TILDE
00F6  # LATIN SMALL LETTER O WITH DIAERESIS
00F8  # LATIN SMALL LETTER O WITH STROKE
00F9  # LATIN SMALL LETTER U WITH GRAVE
00FA  # LATIN SMALL LETTER U WITH ACUTE
00FB  # LATIN SMALL LETTER U WITH CIRCUMFLEX
00FC  # LATIN SMALL LETTER U WITH DIAERESIS
00FD  # LATIN SMALL LETTER Y WITH ACUTE
00FE  # LATIN SMALL LETTER THORN
